0: 3723
1389: 4542,2457,3043
1390: 3046,4546
1391: 5849,4668,394,3047
1392: 2599,4676
1393: 3564,640,2135,3559
1394: 4556,5756
1395: 3056,4036,5067,1103
1396: 4560
1397: 4564,3061
1398: 5619
1399: 641,4734
1400: 5678,4783
1401: 5623,2420,3094
1402: 2253,5335,3097
1403: 3114,4578
1404: 730,4909,4885
1405: 4905,2618
1406: 4405,4586
1407: 3385,5629
1408: 3133,4926,2429,4810
1409: 5634
1410: 4600
1411: 5638,2793
1412: 3208,5640,5915
1413: 870,5642,3222,5324
1414: 5643,5577
1415: 3227,5645
1416: 3230,5648
1417: 509,4053
1418: 4057,645,2156
1419: 5655
1420: 3240,2824,5350
1421: 5661,5366
1422: 5880,5662,3709,873
1423: 4153,510,4652
1424: 5856,4160
1425: 3284,5412,2282,5579
1426: 3289,2833,5924
1427: 3295,646
1428: 3300,511,2639
1429: 2459,5504,3305,4234
1430: 647,2171,4640,4246
1431: 3313,5675
1432: 4259,5861,2852
1433: 705,2296,4271
1434: 2305,5679
1435: 5929,3326,5862
1436: 2463,3327,4292,5681
1437: 651,3331
1438: 2492,5863,3335,5926
1439: 2468,5686,4324
1440: 4329,514
1441: 4683,3341
1442: 4686,3346,982
1443: 4689
1444: 3352,5691
1445: 3356,2218,5864
1446: 4384,517,4787,3359
1447: 3362,4671,4701
1448: 48,4705
1449: 5698
1450: 5699,5897,3374
1451: 3377,4709
1452: 3379,4720
1453: 4801,5702,3382
1454: 2524,5788,3386
1455: 2761,4731
