1006: 12179
1007: 7620
1008: 9470,9465
1009: 11704,11694
1010: 10939
1011: 3062,3816,3206,6072,1044,12206
1012: 9555,5715,10945,6629,3357,5830
1013: 11997,11969
1014: 8105,10354,10976,6498
1015: 5719,8343
1016: 6962,12109
1017: 9855,3096,11783,1652
1018: 11549,11898,6654,6054
1019: 5191,12506,3583,643,11750
1020: 7089,1895,3621,12237
1021: 6060,4218,10550,4910,3125
1022: 8351,7920
1023: 11487
1024: 3478,11705
1025: 11555,9093
1026: 3771,785,2110,7198
1027: 5091,8362
1028: 9111,8277,12358
1029: 6964
1030: 1980,7198,3771,10929,3537
1031: 9536,7099,12642
1032: 3835,10874,10940
1033: 10777
1034: 8969,10905
1035: 9677,8372,4581
1036: 8375,9416
1037: 2394,10283,3200,5942
1038: 11556,11180,3523
1039: 11998
1040: 7644,8963,3202
1041: 6464,7645,3236,909,12043
1042: 11489,3897
1043: 6153,5115,480,2482,3205
1044: 6072,9827,1011
1045: 10282,10078
1046: 8727,1783,5122,11166,11294
1047: 3853,7298,7374,2013
1048: 3733,12181,1970,7077
1049: 7652
1050: 6398,3585,11240,10347
1051: 5126,8808,3224
1052: 3939,9483,9095
1053: 2876,10311,9304,3229,4044
1054: 9035,10083,10578
1055: 3734,7375
1056: 6238,11457,11403
1057: 11902,7039
1058: 7274,9088,2981,3261,4123
1059: 8978,5134,3052,5827
1060: 1181,5456,2808,6242,11699
1061: 4648,5770,10568,8979
1062: 3698,7246
1063: 7023,12289,10890,12302,9495
1064: 7145,12222,7142,11782,7174
1065: 7666,9078,9781
1066: 7669,4660
1067: 11405,3997
1068: 12310,12307
1069: 3037,5145,8986,11002
1070: 11198,6714
1071: 7605,10985,7824,4672
1072: 5390,2197,5236,9396,4493
1073: 3799,10284,10092
1074: 11407,11068,12062,5949,2209
1075: 11200
1076: 2033,9081,8990
1077: 11786,3932
1078: 10093,6086
1079: 12672,2232
1080: 4634,5160,9333,2237,3383
1081: 9334,5161,11787
1082: 2251,10403,6816,2164
1083: 3540,11271,10839,6725,3623,6133
1084: 3706,11646,6930,11649,3705
1085: 1292,6236,11863,10406,6129,7646
